股利發放年度_股利發放年度_股利發放年度_股利發放年度,股利政策_股東股利 (元/股)_現金股利_盈餘,股利政策_股東股利 (元/股)_現金股利_公積,股利政策_股東股利 (元/股)_現金股利_合計,股利政策_股東股利 (元/股)_股票股利_盈餘,股利政策_股東股利 (元/股)_股票股利_公積,股利政策_股東股利 (元/股)_股票股利_合計,股利政策_股東股利 (元/股)_股利合計_股利合計,股利政策_填息花費日數_填息花費日數_填息花費日數,股利政策_填權花費日數_填權花費日數_填權花費日數,現金殖利率統計_現金殖利率統計_股價年度_股價年度,現金殖利率統計_現金殖利率統計_除息前_價格,現金殖利率統計_現金殖利率統計_除息前_利率,現金殖利率統計_現金殖利率統計_年均價_價格,現金殖利率統計_現金殖利率統計_年均價_利率,現金殖利率統計_現金殖利率統計_最高價_價格,現金殖利率統計_現金殖利率統計_最高價_利率,現金殖利率統計_現金殖利率統計_最低價_價格,現金殖利率統計_現金殖利率統計_最低價_利率,盈餘分配率統計_盈餘分配率統計_股利所屬期間_股利所屬期間,盈餘分配率統計_盈餘分配率統計_EPS(元)_EPS(元),盈餘分配率統計_盈餘分配率統計_盈餘分配率(%)_配息,盈餘分配率統計_盈餘分配率統計_盈餘分配率(%)_配股,盈餘分配率統計_盈餘分配率統計_盈餘分配率(%)_合計
2024,4.758,0,4.758,0,0,0,4.758,53,-,2024,125.5,3.79,123,3.86,128,3.72,118,4.03,2023,4.76,100,0,100
2023,4.702,0,4.702,0,0,0,4.702,110,-,2023,121.5,3.87,119,3.96,128,3.67,111.5,4.22,2022,4.7,100,0,100
2022,4.608,0,4.608,0,0,0,4.608,-,-,2022,130.5,3.53,120,3.84,132.5,3.48,105.5,4.37,2021,4.61,100,0,100
2021,4.306,0,4.306,0,0,0,4.306,82,-,2021,115.5,3.73,113,3.82,118.5,3.63,108,3.99,2020,4.31,99.9,0,99.9
2020,4.226,0,4.226,0,0,0,4.226,265,-,2020,116.5,3.63,109,3.87,117,3.61,103,4.1,2019,4.23,99.9,0,99.9
2019,4.479,0,4.479,0,0,0,4.479,38,-,2019,112,4,110,4.06,114,3.93,106,4.23,2018,4.58,97.8,0,97.8
2018,4.796,0,4.796,0,0,0,4.796,114,-,2018,111.5,4.3,109,4.4,115,4.17,104.5,4.59,2017,5.01,95.7,0,95.7
2017,4.942,0,4.942,0,0,0,4.942,121,-,2017,109.5,4.51,104,4.74,111,4.45,99.5,4.97,2016,5.16,95.8,0,95.8
2016,5.485,0,5.485,0,0,0,5.485,"1,365",-,2016,123,4.46,110,5,125.5,4.37,97.9,5.6,2015,5.52,99.4,0,99.4
2015,4.856,0,4.856,0,0,0,4.856,14,-,2015,98.2,4.95,97.8,4.97,101,4.81,92.1,5.27,2014,4.98,97.5,0,97.5
2014,2.388,2.137,4.525,0,0,0,4.525,133,-,2014,95.6,4.73,93,4.86,96.9,4.67,89.8,5.04,2013,5.12,88.4,0,88.4
2013,4.63,0.72,5.35,0,0,0,5.35,417,-,2013,99.8,5.36,94.1,5.68,102,5.25,90,5.94,2012,5.25,102,0,102
2012,5.461,0,5.461,0,0,0,5.461,53,-,2012,93.8,5.82,92.2,5.92,101,5.41,87.5,6.24,2011,6.04,90.4,0,90.4
2011,5.524,0,5.524,0,0,0,5.524,"1,155",-,2011,110,5.02,96.2,5.74,111,4.98,72.7,7.6,2010,4.91,113,0,113
2010,4.06,0,4.06,0,0,0,4.06,21,-,2010,67.7,6,66.1,6.15,79,5.14,57.9,7.01,2009,4.51,90,0,90
2009,3.83,0,3.83,0,1,1,4.83,219,219,2009,65.8,5.82,58.7,6.52,68.2,5.62,50,7.66,2008,4.64,82.5,21.6,104
2008,4.26,0,4.26,0.1,2,2.1,6.36,91,91,2008,63.1,6.75,70.1,6.07,83.2,5.12,45.6,9.34,2007,4.56,93.4,46.1,139
2007,3.58,0,3.58,0,1,1,4.58,104,104,2007,67.2,5.33,61.3,5.84,67.6,5.3,50.7,7.06,2006,4.63,77.3,21.6,98.9
2006,4.3,0,4.3,0.2,0,0.2,4.5,101,101,2006,60.9,7.06,58.3,7.38,62.3,6.9,53.5,8.04,2005,4.94,87,4.05,91.1
2005,4.7,0,4.7,0,0,0,4.7,368,-,2005,62.5,7.52,61,7.7,66.1,7.11,55,8.55,2004,5.17,90.9,0,90.9
2004,4.5,0,4.5,0,0,0,4.5,57,-,2004,58,7.76,56.4,7.98,64,7.03,49.4,9.11,2003,5.03,89.4,0,89.4
2003,4,0,4,0,0,0,4,53,-,2003,52.5,7.62,50.8,7.87,59.5,6.72,45.8,8.73,2002,4.48,89.2,0,89.2
2002,3.5,0,3.5,0,0,0,3.5,137,-,2002,55,6.36,49.5,7.07,55.5,6.31,42.8,8.18,2001,3.86,90.7,0,90.7
2001,5.8,0,5.8,0,0,0,5.8,399,-,2001,58.5,9.91,56.5,10.3,85.5,6.78,38.5,15.1,2000,6.51,89.1,0,89.1
2000,4.76,0,4.76,0,0,0,4.76,-,-,2000,88.21,5.4,88.2,5.4,100.5,4.74,74,6.43,1999,5.36,88.8,0,88.8
1999,4.99,0,4.99,0,0,0,4.99,-,-,-,-,-,-,-,-,-,-,-,1998,5.65,88.3,0,88.3
1998,4.06,0,4.06,0,0,0,4.06,-,-,-,-,-,-,-,-,-,-,-,1997,4.65,87.3,0,87.3
累計,121.5,2.858,124.4,0.3,4,4.3,128.7,,,,,,,,,,,,累計,133,,,
